geography,date,sex,age,isced11,Population_in_thousands,Country_Name,Life_expectancy_in_years,normal_percentage
AT,2008,M,Y15-19,ED3_4,,Austria,,
BE,2009,F,Y15-24,ED5-8,,Belgium,,
BG,2010,,Y15-39,TOTAL,,Bulgaria,,
CY,2011,,Y15-59,ED0-2,,Cyprus,,
CZ,2012,,Y15-64,NRP,,Czechia,,
DE,2013,,Y15-74,,,Germany,,
DK,2014,,Y20-24,,,Denmark,,
EE,2015,,Y20-64,,,Estonia,,
ES,2016,,Y25-29,,,Spain,,
FI,2017,,Y25-39,,,Finland,,
FR,2018,,Y25-49,,,France,,
HR,2019,,Y25-54,,,Croatia,,
HU,,,Y25-59,,,Hungary,,
IE,,,Y25-64,,,Ireland,,
IT,,,Y25-74,,,Italy,,
LT,,,Y30-34,,,Lithuania,,
LU,,,Y35-39,,,Luxembourg,,
LV,,,Y40-44,,,Latvia,,
MT,,,Y40-59,,,Malta,,
NL,,,Y40-64,,,Netherlands,,
PL,,,Y45-49,,,Poland,,
PT,,,Y50-54,,,Portugal,,
RO,,,Y50-59,,,Romania,,
SE,,,Y50-64,,,Sweden,,
SI,,,Y50-74,,,Slovenia,,
SK,,,Y55-59,,,Slovakia,,
UK,,,Y55-64,,,United Kingdom,,
,,,Y60-64,,,,,
,,,Y65-69,,,,,
